"","location","total_sqft","bath","price","bhk"
"0","1st Block Jayanagar","2850","4","428","4"
"1","1st Block Jayanagar","1630","3","194","3"
"2","1st Block Jayanagar","1875","2","235","3"
"3","1st Block Jayanagar","1200","2","130","3"
"4","1st Block Jayanagar","1235","2","148","2"
"5","1st Block Jayanagar","2750","4","413","4"
"6","1st Block Jayanagar","2450","4","368","4"
"7","1st Phase JP Nagar","2825","4","250","4"
"8","1st Phase JP Nagar","1875","3","167","3"
"9","1st Phase JP Nagar","1500","5","85","5"
"10","1st Phase JP Nagar","2065","4","210","3"
"11","1st Phase JP Nagar","2024","3","157","3"
"12","1st Phase JP Nagar","2059","3","225","3"
"13","1st Phase JP Nagar","1394","2","100","2"
"14","1st Phase JP Nagar","1077","2","93","2"
"15","1st Phase JP Nagar","1566","2","180","2"
"16","1st Phase JP Nagar","840","2","50","1"
"17","1st Phase JP Nagar","1590","3","131","3"
"18","1st Phase JP Nagar","2180","3","210","3"
"19","1st Phase JP Nagar","1180","2","88.5","2"
"20","1st Phase JP Nagar","1200","2","86","2"
"21","1st Phase JP Nagar","1394","2","85","2"
"22","1st Phase JP Nagar","2077","3","175","3"
"23","1st Phase JP Nagar","4550","2","240","4"
"24","1st Phase JP Nagar","1205","2","85","2"
"25","1st Phase JP Nagar","2615","5","222","4"
"26","1st Phase JP Nagar","900","2","75","2"
"27","2nd Phase Judicial Layout","1450","2","50.75","3"
"28","2nd Phase Judicial Layout","1150","2","40.25","2"
"29","2nd Phase Judicial Layout","1350","2","47.25","3"
"30","2nd Phase Judicial Layout","1350","2","47.25","3"
"31","2nd Phase Judicial Layout","900","2","41","2"
"32","2nd Phase Judicial Layout","1681","3","69","3"
"33","2nd Phase Judicial Layout","1350","2","47.25","3"
"34","2nd Phase Judicial Layout","1150","2","40.25","2"
"35","2nd Stage Nagarbhavi","1500","4","220","4"
"36","2nd Stage Nagarbhavi","3000","8","451","6"
"37","2nd Stage Nagarbhavi","2400","8","450","6"
"38","2nd Stage Nagarbhavi","1350","4","200","4"
"39","2nd Stage Nagarbhavi","1200","4","225","4"
"40","2nd Stage Nagarbhavi","1500","3","230","4"
"41","5th Block Hbr Layout","1206","2","56","2"
"42","5th Block Hbr Layout","1270","2","70","3"
"43","5th Block Hbr Layout","1312","2","69","2"
"44","5th Block Hbr Layout","1100","2","48","2"
"45","5th Block Hbr Layout","3600","5","130","5"
"46","5th Block Hbr Layout","5100","5","300","6"
"47","5th Phase JP Nagar","1075","2","60","2"
"48","5th Phase JP Nagar","1150","3","52.5","2"
"49","5th Phase JP Nagar","1256","2","62.8","2"
"50","5th Phase JP Nagar","1207","2","63","2"
"51","5th Phase JP Nagar","1725","2","100","3"
"52","5th Phase JP Nagar","1440","2","60","2"
"53","5th Phase JP Nagar","1700","2","100","3"
"54","5th Phase JP Nagar","1485","2","67","3"
"55","5th Phase JP Nagar","2500","5","110","5"
"56","5th Phase JP Nagar","600","1","30","1"
"57","5th Phase JP Nagar","1390","2","65","2"
"58","5th Phase JP Nagar","1256","2","62.8","2"
"59","5th Phase JP Nagar","1000","2","48","2"
"60","5th Phase JP Nagar","1350","2","75","3"
"61","5th Phase JP Nagar","552","1","23.5","1"
"62","5th Phase JP Nagar","1200","2","51","2"
"63","5th Phase JP Nagar","1240","3","60","3"
"64","5th Phase JP Nagar","1550","3","75","3"
"65","5th Phase JP Nagar","1485","2","66","3"
"66","5th Phase JP Nagar","1030","2","57","2"
"67","5th Phase JP Nagar","1200","2","68","2"
"68","5th Phase JP Nagar","1190","2","61.8","2"
"69","5th Phase JP Nagar","4000","5","170","5"
"70","5th Phase JP Nagar","1080","2","53","2"
"71","5th Phase JP Nagar","1041","2","54","2"
"72","5th Phase JP Nagar","812","2","42","2"
"73","5th Phase JP Nagar","1010","2","57","2"
"74","5th Phase JP Nagar","1450","2","73","3"
"75","5th Phase JP Nagar","1075","2","60","2"
"76","6th Phase JP Nagar","1192","2","74","2"
"77","6th Phase JP Nagar","1180","2","80","2"
"78","6th Phase JP Nagar","3245","4","250","4"
"79","6th Phase JP Nagar","1645","3","100","3"
"80","6th Phase JP Nagar","1140","2","65","2"
"81","6th Phase JP Nagar","2040","3","200","3"
"82","6th Phase JP Nagar","1213","2","63","2"
"83","6th Phase JP Nagar","1216","2","60","2"
"84","6th Phase JP Nagar","1460","2","80","2"
"85","6th Phase JP Nagar","2003","3","200","3"
"86","6th Phase JP Nagar","1810","3","131","3"
"87","6th Phase JP Nagar","1515","2","135","3"
"88","6th Phase JP Nagar","1192","2","75","2"
"89","6th Phase JP Nagar","1280","2","88","2"
"90","7th Phase JP Nagar","1080","2","72","2"
"91","7th Phase JP Nagar","1270","2","93","2"
"92","7th Phase JP Nagar","1420","2","100","3"
"93","7th Phase JP Nagar","1850","3","150","3"
"94","7th Phase JP Nagar","1245","2","94","2"
"95","7th Phase JP Nagar","1175","2","82","2"
"96","7th Phase JP Nagar","1400","2","95","3"
"97","7th Phase JP Nagar","2225","3","160","3"
"98","7th Phase JP Nagar","1050","2","71","2"
"99","7th Phase JP Nagar","1100","2","46","2"
"100","7th Phase JP Nagar","918","2","50.49","2"
"101","7th Phase JP Nagar","1450","2","100","3"
"102","7th Phase JP Nagar","1190","2","49.98","2"
"103","7th Phase JP Nagar","1420","2","96","3"
"104","7th Phase JP Nagar","1680","3","120","3"
"105","7th Phase JP Nagar","980","2","69","2"
"106","7th Phase JP Nagar","1180","2","72","2"
"107","7th Phase JP Nagar","1050","2","57","3"
"108","7th Phase JP Nagar","1343","2","56.41","3"
"109","7th Phase JP Nagar","1405","2","59.01","3"
"110","7th Phase JP Nagar","1400","3","115","3"
"111","7th Phase JP Nagar","1270","2","83","2"
"112","7th Phase JP Nagar","3300","4","150","4"
"113","7th Phase JP Nagar","2503","4","188","4"
"114","7th Phase JP Nagar","2200","3","190","3"
"115","7th Phase JP Nagar","1250","3","65","3"
"116","7th Phase JP Nagar","1385","2","58.17","3"
"117","7th Phase JP Nagar","1575","2","110","3"
"118","7th Phase JP Nagar","1850","3","140","3"
"119","7th Phase JP Nagar","1575","2","120","3"
"120","7th Phase JP Nagar","1850","3","150","3"
"121","7th Phase JP Nagar","1680","3","120","3"
"122","7th Phase JP Nagar","1175","2","82.5","2"
"123","7th Phase JP Nagar","3300","4","160","3"
"124","7th Phase JP Nagar","2200","4","105","3"
"125","7th Phase JP Nagar","1215","2","90","2"
"126","7th Phase JP Nagar","1050","2","75","2"
"127","7th Phase JP Nagar","1300","3","89.13","3"
"128","7th Phase JP Nagar","1130","2","73","2"
"129","7th Phase JP Nagar","1450","3","100","3"
"130","7th Phase JP Nagar","1350","3","58","3"
"131","7th Phase JP Nagar","1050","2","50","2"
"132","7th Phase JP Nagar","1275","2","87","2"
"133","7th Phase JP Nagar","1460","3","70","3"
"134","7th Phase JP Nagar","1650","3","110","3"
"135","7th Phase JP Nagar","850","2","42","2"
"136","7th Phase JP Nagar","1680","3","117","3"
"137","7th Phase JP Nagar","1850","3","150","3"
"138","7th Phase JP Nagar","1236","2","61.33","2"
"139","7th Phase JP Nagar","1000","2","53","2"
"140","7th Phase JP Nagar","1680","3","125","3"
"141","7th Phase JP Nagar","1675","2","135","3"
"142","7th Phase JP Nagar","1187","2","59","2"
"143","7th Phase JP Nagar","1850","3","155","3"
"144","7th Phase JP Nagar","1000","2","61","2"
"145","7th Phase JP Nagar","1460","2","100","3"
"146","7th Phase JP Nagar","1650","3","110","3"
"147","7th Phase JP Nagar","1200","2","62.5","2"
"148","7th Phase JP Nagar","1000","2","70.65","2"
"149","7th Phase JP Nagar","1080","2","75","2"
"150","7th Phase JP Nagar","1415","3","65","3"
"151","7th Phase JP Nagar","1680","3","125","3"
"152","7th Phase JP Nagar","1460","2","97","3"
"153","7th Phase JP Nagar","1120","2","65","2"
"154","7th Phase JP Nagar","1100","3","60","2"
"155","7th Phase JP Nagar","1790","3","120","3"
"156","7th Phase JP Nagar","1680","3","117","3"
"157","7th Phase JP Nagar","1050","2","77","2"
"158","7th Phase JP Nagar","1050","2","75","2"
"159","7th Phase JP Nagar","1040","2","75","2"
"160","7th Phase JP Nagar","1400","2","95","3"
"161","7th Phase JP Nagar","1800","3","130","3"
"162","7th Phase JP Nagar","1050","2","68","2"
"163","7th Phase JP Nagar","1000","2","60","2"
"164","7th Phase JP Nagar","1680","3","125","3"
"165","7th Phase JP Nagar","1050","2","77.47","2"
"166","7th Phase JP Nagar","1270","2","80","2"
"167","7th Phase JP Nagar","1463","2","61.45","3"
"168","7th Phase JP Nagar","1680","3","122","3"
"169","7th Phase JP Nagar","1130","2","85","2"
"170","7th Phase JP Nagar","1680","3","130","3"
"171","7th Phase JP Nagar","980","2","77.44","2"
"172","7th Phase JP Nagar","1680","3","112","3"
"173","7th Phase JP Nagar","1515","2","76","3"
"174","7th Phase JP Nagar","2095","3","150","3"
"175","7th Phase JP Nagar","1976","3","145","3"
"176","7th Phase JP Nagar","1600","2","110","3"
"177","7th Phase JP Nagar","1765","3","118","3"
"178","7th Phase JP Nagar","1275","2","88","3"
"179","7th Phase JP Nagar","1450","2","102","3"
"180","7th Phase JP Nagar","1575","2","110","3"
"181","7th Phase JP Nagar","1075","2","57","3"
"182","7th Phase JP Nagar","750","1","47","1"
"183","7th Phase JP Nagar","990","2","50","2"
"184","7th Phase JP Nagar","1000","1","60","1"
"185","7th Phase JP Nagar","1680","2","92","3"
"186","7th Phase JP Nagar","1430","2","102","3"
"187","7th Phase JP Nagar","1128","2","60","2"
"188","7th Phase JP Nagar","1140","2","57","2"
